,country,article_name,revision_id,article_quality,population
0,Zambia,Template:ZambiaProvincialMinisters,235107991,Stub,"15,473,900"
1,Zambia,Gladys Lundwe,757566606,Stub,"15,473,900"
2,Zambia,Mwamba Luchembe,764848643,Stub,"15,473,900"
3,Zambia,Thandiwe Banda,768166426,Start,"15,473,900"
4,Zambia,Sylvester Chisembele,776082926,C,"15,473,900"
5,Zambia,Victoria Kalima,776530837,Start,"15,473,900"
6,Zambia,Margaret Mwanakatwe,779747587,Start,"15,473,900"
7,Zambia,Nkandu Luo,779747961,C,"15,473,900"
8,Zambia,Susan Nakazwe,779748181,Start,"15,473,900"
9,Zambia,Catherine Namugala,779748285,Start,"15,473,900"
10,Zambia,Edith Nawakwi,779748522,Start,"15,473,900"
11,Zambia,Joyce Nonde-Simukoko,779748628,Start,"15,473,900"
12,Zambia,Gladys Nyirongo,779748837,C,"15,473,900"
13,Zambia,Vera Tembo,779748931,C,"15,473,900"
14,Zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,"15,473,900"
15,Zambia,Besnat Jere,791225634,Stub,"15,473,900"
16,Zambia,Esther Lungu,792296625,C,"15,473,900"
17,Zambia,Inonge Wina,794006130,Start,"15,473,900"
18,Zambia,Maureen Mwanawasa,795820299,Start,"15,473,900"
19,Zambia,First Lady of Zambia,796467991,Start,"15,473,900"
20,Zambia,Jean Kapata,797469872,Start,"15,473,900"
21,Zambia,Peter Sinkamba,799512628,Start,"15,473,900"
22,Zambia,Gwendoline Konie,803304465,Start,"15,473,900"
23,Zambia,Kenneth Kaunda,805875783,B,"15,473,900"
24,Zambia,Inonge Mbikusita-Lewanika,805993958,Start,"15,473,900"
25,Zambia,Yobert K. Shamapande,806345311,C,"15,473,900"
26,Chad,Bir I of Kanem,355319463,Stub,"13,707,000"
27,Chad,Abdullah II of Kanem,498683267,Stub,"13,707,000"
28,Chad,Salmama II of Kanem,565745353,Stub,"13,707,000"
29,Chad,Kuri I of Kanem,565745365,Stub,"13,707,000"
30,Chad,Mohammed I of Kanem,565745375,Stub,"13,707,000"
31,Chad,Kuri II of Kanem,669719757,Stub,"13,707,000"
32,Chad,Bir II of Kanem,670893206,Stub,"13,707,000"
33,Chad,Mahamat Hissene,693055898,Stub,"13,707,000"
34,Chad,Othman I,705432607,Stub,"13,707,000"
35,Chad,Alphonse Kotiga,707593108,Stub,"13,707,000"
36,Chad,Oueddei Kichidemi,708346649,Start,"13,707,000"
37,Chad,Dunama I,710675092,Stub,"13,707,000"
38,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,"13,707,000"
39,Chad,Djibrine Kerallah,712971263,Stub,"13,707,000"
